regionid,pg,yearweek,volume
A01,ST0001,201415,810144.0
A01,ST0002,201415,128999.0
A01,ST0001,201418,671464.0
A01,ST0002,201418,134467.0
A01,ST0001,201413,470040.0
A01,ST0002,201413,140297.0
A01,ST0001,201411,524787.0
A01,ST0002,201411,145509.0
A01,ST0001,201416,764927.0
A01,ST0002,201416,140313.0
A01,ST0001,201419,682757.0
A01,ST0002,201419,128668.0
A01,ST0001,201414,428195.0
A01,ST0002,201414,137488.0
A01,ST0001,201412,486509.0
A01,ST0001,201417,697502.0
A01,ST0002,201417,127163.0
A01,ST0001,201407,620392.0
A01,ST0002,201407,146476.0
A01,ST0001,201410,511679.0
A01,ST0002,201410,153152.0
A01,ST0001,201402,438251.0
A01,ST0002,201402,123875.0
A01,ST0001,201405,482381.0
A01,ST0002,201405,180516.0
A01,ST0001,201408,571781.0
A01,ST0002,201408,156772.0
A01,ST0001,201403,420290.0
A01,ST0002,201403,114744.0
A01,ST0001,201406,570412.0
A01,ST0002,201406,139277.0
A01,ST0001,201409,569545.0
A01,ST0002,201409,141823.0
A01,ST0001,201401,513598.0
A01,ST0002,201401,155729.0
A01,ST0001,201404,458431.0
A01,ST0002,201404,137162.0
A01,ST0002,201435,149570.0
A01,ST0001,201438,693449.0
A01,ST0002,201438,132870.0
A01,ST0001,201433,679332.0
A01,ST0002,201433,150105.0
A01,ST0001,201441,624735.0
A01,ST0002,201441,127720.0
A01,ST0001,201436,826981.0
A01,ST0002,201436,210006.0
A01,ST0001,201439,636169.0
A01,ST0002,201439,129992.0
A01,ST0001,201434,846123.0
A01,ST0002,201434,168303.0
A01,ST0001,201432,677509.0
A01,ST0002,201432,134564.0
A01,ST0001,201437,717281.0
A01,ST0002,201437,195106.0
A01,ST0001,201440,647135.0
A01,ST0002,201440,139629.0
A01,ST0001,201435,833345.0
A01,ST0001,201425,618699.0
A01,ST0002,201425,128766.0
A01,ST0001,201428,587529.0
A01,ST0002,201428,142598.0
A01,ST0001,201423,610479.0
A01,ST0002,201423,125300.0
A01,ST0001,201426,586721.0
A01,ST0002,201426,135212.0
A01,ST0001,201431,671138.0
A01,ST0002,201431,140732.0
A01,ST0001,201421,620290.0
A01,ST0002,201421,132909.0
A01,ST0001,201429,620882.0
A01,ST0002,201429,154985.0
A01,ST0001,201424,589613.0
A01,ST0002,201424,139590.0
A01,ST0001,201427,599043.0
A01,ST0002,201427,184550.0
A01,ST0001,201422,603104.0
A01,ST0002,201422,143231.0
A01,ST0001,201430,643984.0
A01,ST0002,201430,133998.0
A01,ST0001,201452,1197170.0
A01,ST0002,201452,422468.0
A01,ST0001,201453,757241.0
A01,ST0002,201453,232523.0
A01,ST0001,201443,627906.0
A01,ST0002,201443,124142.0
A01,ST0001,201451,863189.0
A01,ST0002,201451,356271.0
A01,ST0001,201446,644949.0
A01,ST0002,201446,184242.0
A01,ST0001,201449,835398.0
A01,ST0002,201449,669711.0
A01,ST0001,201444,623132.0
A01,ST0002,201444,133493.0
A01,ST0001,201447,681873.0
A01,ST0002,201447,378339.0
A01,ST0001,201442,639179.0
A01,ST0002,201442,136559.0
A01,ST0001,201450,752613.0
A01,ST0002,201450,294579.0
A01,ST0001,201445,621592.0
A01,ST0002,201445,155032.0
A01,ST0001,201448,1103665.0
A01,ST0002,201448,1400339.0
A01,ST0002,201512,151750.0
A01,ST0001,201520,645626.0
A01,ST0002,201520,125863.0
A01,ST0001,201515,810144.0
A01,ST0002,201515,128999.0
A01,ST0001,201518,671464.0
A01,ST0002,201518,134467.0
A01,ST0001,201513,470040.0
A01,ST0002,201513,140297.0
A01,ST0001,201511,524787.0
A01,ST0002,201511,145509.0
A01,ST0001,201516,764927.0
A01,ST0002,201516,140313.0
A01,ST0001,201519,682757.0
A01,ST0002,201519,128668.0
A01,ST0001,201514,428195.0
A01,ST0002,201514,137488.0
A01,ST0001,201512,486509.0
A01,ST0001,201517,697502.0
A01,ST0002,201517,127163.0
A01,ST0001,201507,620392.0
A01,ST0002,201507,146476.0
A01,ST0001,201510,511679.0
A01,ST0002,201510,153152.0
A01,ST0001,201502,438251.0
A01,ST0002,201502,123875.0
A01,ST0001,201505,482381.0
A01,ST0002,201505,180516.0
A01,ST0001,201508,571781.0
A01,ST0002,201508,156772.0
A01,ST0001,201503,420290.0
A01,ST0002,201503,114744.0
A01,ST0001,201506,570412.0
A01,ST0002,201506,139277.0
A01,ST0001,201509,569545.0
A01,ST0002,201509,141823.0
A01,ST0001,201501,513598.0
A01,ST0002,201501,155729.0
A01,ST0001,201504,458431.0
A01,ST0002,201504,137162.0
A01,ST0002,201535,149570.0
A01,ST0001,201538,693449.0
A01,ST0002,201538,132870.0
A01,ST0001,201533,679332.0
A01,ST0002,201533,150105.0
A01,ST0001,201541,624735.0
A01,ST0002,201541,127720.0
A01,ST0001,201536,826981.0
A01,ST0002,201536,210006.0
A01,ST0001,201539,636169.0
A01,ST0002,201539,129992.0
A01,ST0001,201534,846123.0
A01,ST0002,201534,168303.0
A01,ST0001,201532,677509.0
A01,ST0002,201532,134564.0
A01,ST0001,201537,717281.0
A01,ST0002,201537,195106.0
A01,ST0001,201540,647135.0
A01,ST0002,201540,139629.0
A01,ST0001,201535,833345.0
A01,ST0001,201525,618699.0
A01,ST0002,201525,128766.0
A01,ST0001,201528,587529.0
A01,ST0002,201528,142598.0
A01,ST0001,201523,610479.0
A01,ST0002,201523,125300.0
A01,ST0001,201526,586721.0
A01,ST0002,201526,135212.0
A01,ST0001,201531,671138.0
A01,ST0002,201531,140732.0
A01,ST0001,201521,620290.0
A01,ST0002,201521,132909.0
A01,ST0001,201529,620882.0
A01,ST0002,201529,154985.0
A01,ST0001,201524,589613.0
A01,ST0002,201524,139590.0
A01,ST0001,201527,599043.0
A01,ST0002,201527,184550.0
A01,ST0001,201522,603104.0
A01,ST0002,201522,143231.0
A01,ST0001,201530,643984.0
A01,ST0002,201530,133998.0
A01,ST0001,201605,661049.0
A01,ST0002,201605,231214.0
A01,ST0001,201603,531372.0
A01,ST0002,201603,152763.0
A01,ST0001,201601,651243.0
A01,ST0002,201601,162801.0
A01,ST0001,201608,671116.0
A01,ST0002,201608,130000.0
A01,ST0001,201606,881536.0
A01,ST0002,201606,172230.0
A01,ST0001,201552,1197170.0
A01,ST0002,201552,422468.0
A01,ST0001,201604,585025.0
A01,ST0002,201604,197057.0
A01,ST0001,201602,573198.0
A01,ST0002,201602,137186.0
A01,ST0001,201553,757241.0
A01,ST0002,201553,232523.0
A01,ST0001,201607,790430.0
A01,ST0002,201607,161324.0
A01,ST0001,201543,627906.0
A01,ST0002,201543,124142.0
A01,ST0001,201551,863189.0
A01,ST0002,201551,356271.0
A01,ST0001,201546,644949.0
A01,ST0002,201546,184242.0
A01,ST0001,201549,835398.0
A01,ST0002,201549,669711.0
A01,ST0001,201544,623132.0
A01,ST0002,201544,133493.0
A01,ST0001,201547,681873.0
A01,ST0002,201547,378339.0
A01,ST0001,201542,639179.0
A01,ST0002,201542,136559.0
A01,ST0001,201550,752613.0
A01,ST0002,201550,294579.0
A01,ST0001,201545,621592.0
A01,ST0002,201545,155032.0
A01,ST0001,201548,1103665.0
A01,ST0002,201548,1400339.0
A01,ST0001,201623,768124.0
A01,ST0002,201623,161983.0
A01,ST0001,201621,721991.0
A01,ST0002,201621,205984.0
A01,ST0001,201626,871247.0
A01,ST0002,201626,196489.0
A01,ST0001,201619,693402.0
A01,ST0002,201619,152980.0
A01,ST0001,201624,772706.0
A01,ST0002,201624,171592.0
A01,ST0001,201622,817878.0
A01,ST0002,201622,214929.0
A01,ST0001,201620,695859.0
A01,ST0002,201620,160913.0
A01,ST0001,201618,712672.0
A01,ST0002,201618,162560.0
A01,ST0001,201625,786218.0
A01,ST0002,201625,157283.0
A01,ST0001,201612,794413.0
A01,ST0002,201612,132780.0
A01,ST0001,201610,1218194.0
A01,ST0002,201610,142575.0
A01,ST0001,201617,694920.0
A01,ST0002,201617,142279.0
A01,ST0001,201615,678467.0
A01,ST0002,201615,143180.0
A01,ST0001,201613,886427.0
A01,ST0002,201613,135788.0
A01,ST0001,201611,1011581.0
A01,ST0002,201611,150915.0
A01,ST0001,201609,635412.0
A01,ST0001,201616,658270.0
A01,ST0002,201616,137927.0
A01,ST0002,201609,154149.0
A01,ST0001,201614,739977.0
A01,ST0002,201614,148835.0
A01,ST0001,201641,746061.0
A01,ST0002,201412,151750.0
A01,ST0001,201420,645626.0
A01,ST0002,201420,125863.0
A01,ST0001,201415,810144.0
A01,ST0002,201415,128999.0
A01,ST0001,201418,671464.0
A01,ST0002,201418,134467.0
A01,ST0001,201413,470040.0
A01,ST0002,201413,140297.0
A01,ST0001,201411,524787.0
A01,ST0002,201411,145509.0
A01,ST0001,201416,764927.0
A01,ST0002,201416,140313.0
A01,ST0001,201419,682757.0
A01,ST0002,201419,128668.0
A01,ST0001,201414,428195.0
A01,ST0002,201414,137488.0
A01,ST0001,201412,486509.0
A01,ST0001,201417,697502.0
A01,ST0002,201417,127163.0
A01,ST0001,201407,620392.0
A01,ST0002,201407,146476.0
A01,ST0001,201410,511679.0
A01,ST0002,201410,153152.0
A01,ST0001,201402,438251.0
A01,ST0002,201402,123875.0
A01,ST0001,201405,482381.0
A01,ST0002,201405,180516.0
A01,ST0001,201408,571781.0
A01,ST0002,201408,156772.0
A01,ST0001,201403,420290.0
A01,ST0002,201403,114744.0
A01,ST0001,201406,570412.0
A01,ST0002,201406,139277.0
A01,ST0001,201409,569545.0
A01,ST0002,201409,141823.0
A01,ST0001,201401,513598.0
A01,ST0002,201401,155729.0
A01,ST0001,201404,458431.0
A01,ST0002,201404,137162.0
A01,ST0002,201435,149570.0
A01,ST0001,201438,693449.0
A01,ST0002,201438,132870.0
A01,ST0001,201433,679332.0
A01,ST0002,201433,150105.0
A01,ST0001,201441,624735.0
A01,ST0002,201441,127720.0
A01,ST0001,201436,826981.0
A01,ST0002,201436,210006.0
A01,ST0001,201439,636169.0
A01,ST0002,201439,129992.0
A01,ST0001,201434,846123.0
A01,ST0002,201434,168303.0
A01,ST0001,201432,677509.0
A01,ST0002,201432,134564.0
A01,ST0001,201437,717281.0
A01,ST0002,201437,195106.0
A01,ST0001,201440,647135.0
A01,ST0002,201440,139629.0
A01,ST0001,201435,833345.0
A01,ST0001,201425,618699.0
A01,ST0002,201425,128766.0
A01,ST0001,201428,587529.0
A01,ST0002,201428,142598.0
A01,ST0001,201423,610479.0
A01,ST0002,201423,125300.0
A01,ST0001,201426,586721.0
A01,ST0002,201426,135212.0
A01,ST0001,201431,671138.0
A01,ST0002,201431,140732.0
A01,ST0001,201421,620290.0
A01,ST0002,201421,132909.0
A01,ST0001,201429,620882.0
A01,ST0002,201429,154985.0
A01,ST0001,201424,589613.0
A01,ST0002,201424,139590.0
A01,ST0001,201427,599043.0
A01,ST0002,201427,184550.0
A01,ST0001,201422,603104.0
A01,ST0002,201422,143231.0
A01,ST0001,201430,643984.0
A01,ST0002,201430,133998.0
A01,ST0001,201452,1197170.0
A01,ST0002,201452,422468.0
A01,ST0001,201453,757241.0
A01,ST0002,201453,232523.0
A01,ST0001,201443,627906.0
A01,ST0002,201443,124142.0
A01,ST0001,201451,863189.0
A01,ST0002,201451,356271.0
A01,ST0001,201446,644949.0
A01,ST0002,201446,184242.0
A01,ST0001,201449,835398.0
A01,ST0002,201449,669711.0
A01,ST0001,201444,623132.0
A01,ST0002,201444,133493.0
A01,ST0001,201447,681873.0
A01,ST0002,201447,378339.0
A01,ST0001,201442,639179.0
A01,ST0002,201442,136559.0
A01,ST0001,201450,752613.0
A01,ST0002,201450,294579.0
A01,ST0001,201445,621592.0
A01,ST0002,201445,155032.0
A01,ST0001,201448,1103665.0
A01,ST0002,201448,1400339.0
A01,ST0002,201512,151750.0
A01,ST0001,201520,645626.0
A01,ST0002,201520,125863.0
A01,ST0001,201515,810144.0
A01,ST0002,201515,128999.0
A01,ST0001,201518,671464.0
A01,ST0002,201518,134467.0
A01,ST0001,201513,470040.0
A01,ST0002,201513,140297.0
A01,ST0001,201511,524787.0
A01,ST0002,201511,145509.0
A01,ST0001,201516,764927.0
A01,ST0002,201516,140313.0
A01,ST0001,201519,682757.0
A01,ST0002,201519,128668.0
A01,ST0001,201514,428195.0
A01,ST0002,201514,137488.0
A01,ST0001,201512,486509.0
A01,ST0001,201517,697502.0
A01,ST0002,201517,127163.0
A01,ST0001,201507,620392.0
A01,ST0002,201507,146476.0
A01,ST0001,201510,511679.0
A01,ST0002,201510,153152.0
A01,ST0001,201502,438251.0
A01,ST0002,201502,123875.0
A01,ST0001,201505,482381.0
A01,ST0002,201505,180516.0
A01,ST0001,201508,571781.0
A01,ST0002,201508,156772.0
A01,ST0001,201503,420290.0
A01,ST0002,201503,114744.0
A01,ST0001,201506,570412.0
A01,ST0002,201506,139277.0
A01,ST0001,201509,569545.0
A01,ST0002,201509,141823.0
A01,ST0001,201501,513598.0
A01,ST0002,201501,155729.0
A01,ST0001,201504,458431.0
A01,ST0002,201504,137162.0
A01,ST0002,201535,149570.0
A01,ST0001,201538,693449.0
A01,ST0002,201538,132870.0
A01,ST0001,201533,679332.0
A01,ST0002,201533,150105.0
A01,ST0001,201541,624735.0
A01,ST0002,201541,127720.0
A01,ST0001,201536,826981.0
A01,ST0002,201536,210006.0
A01,ST0001,201539,636169.0
A01,ST0002,201539,129992.0
A01,ST0001,201534,846123.0
A01,ST0002,201534,168303.0
A01,ST0001,201532,677509.0
A01,ST0002,201532,134564.0
A01,ST0001,201537,717281.0
A01,ST0002,201537,195106.0
A01,ST0001,201540,647135.0
A01,ST0002,201540,139629.0
A01,ST0001,201535,833345.0
A01,ST0001,201525,618699.0
A01,ST0002,201525,128766.0
A01,ST0001,201528,587529.0
A01,ST0002,201528,142598.0
A01,ST0001,201523,610479.0
A01,ST0002,201523,125300.0
A01,ST0001,201526,586721.0
A01,ST0002,201526,135212.0
A01,ST0001,201531,671138.0
A01,ST0002,201531,140732.0
A01,ST0001,201521,620290.0
A01,ST0002,201521,132909.0
A01,ST0001,201529,620882.0
A01,ST0002,201529,154985.0
A01,ST0001,201524,589613.0
A01,ST0002,201524,139590.0
A01,ST0001,201527,599043.0
A01,ST0002,201527,184550.0
A01,ST0001,201522,603104.0
A01,ST0002,201522,143231.0
A01,ST0001,201530,643984.0
A01,ST0002,201530,133998.0
A01,ST0001,201605,661049.0
A01,ST0002,201605,231214.0
A01,ST0001,201603,531372.0
A01,ST0002,201603,152763.0
A01,ST0001,201601,651243.0
A01,ST0002,201601,162801.0
A01,ST0001,201608,671116.0
A01,ST0002,201608,130000.0
A01,ST0001,201606,881536.0
A01,ST0002,201606,172230.0
A01,ST0001,201552,1197170.0
A01,ST0002,201552,422468.0
A01,ST0001,201604,585025.0
A01,ST0002,201604,197057.0
A01,ST0001,201602,573198.0
A01,ST0002,201602,137186.0
A01,ST0001,201553,757241.0
A01,ST0002,201553,232523.0
A01,ST0001,201607,790430.0
A01,ST0002,201607,161324.0
A01,ST0001,201543,627906.0
A01,ST0002,201543,124142.0
A01,ST0001,201551,863189.0
A01,ST0002,201551,356271.0
A01,ST0001,201546,644949.0
A01,ST0002,201546,184242.0
A01,ST0001,201549,835398.0
A01,ST0002,201549,669711.0
A01,ST0001,201544,623132.0
A01,ST0002,201544,133493.0
A01,ST0001,201547,681873.0
A01,ST0002,201547,378339.0
A01,ST0001,201542,639179.0
A01,ST0002,201542,136559.0
A01,ST0001,201550,752613.0
A01,ST0002,201550,294579.0
A01,ST0001,201545,621592.0
A01,ST0002,201545,155032.0
A01,ST0001,201548,1103665.0
A01,ST0002,201548,1400339.0
A01,ST0001,201623,768124.0
A01,ST0002,201623,161983.0
A01,ST0001,201621,721991.0
A01,ST0002,201621,205984.0
A01,ST0001,201626,871247.0
A01,ST0002,201626,196489.0
A01,ST0001,201619,693402.0
A01,ST0002,201619,152980.0
A01,ST0001,201624,772706.0
A01,ST0002,201624,171592.0
A01,ST0001,201622,817878.0
A01,ST0002,201622,214929.0
A01,ST0001,201620,695859.0
A01,ST0002,201620,160913.0
A01,ST0001,201618,712672.0
A01,ST0002,201618,162560.0
A01,ST0001,201625,786218.0
A01,ST0002,201625,157283.0
A01,ST0001,201612,794413.0
A01,ST0002,201612,132780.0
A01,ST0001,201610,1218194.0
A01,ST0002,201610,142575.0
A01,ST0001,201617,694920.0
A01,ST0002,201617,142279.0
A01,ST0001,201615,678467.0
A01,ST0002,201615,143180.0
A01,ST0001,201613,886427.0
A01,ST0002,201613,135788.0
A01,ST0001,201611,1011581.0
A01,ST0002,201611,150915.0
A01,ST0001,201609,635412.0
A01,ST0001,201616,658270.0
A01,ST0002,201616,137927.0
A01,ST0002,201609,154149.0
A01,ST0001,201614,739977.0
A01,ST0002,201614,148835.0
A01,ST0001,201641,746061.0
A01,ST0002,201412,151750.0
A01,ST0001,201420,645626.0
A01,ST0002,201420,125863.0
